Text;goal
Где-то в Челябинской области — суровая красота уральских железных дорог;1
"Отличный повод запланировать зимнее приключение — 11 декабря празднуется Международный день гор. Это идеальное время, чтобы открыть для себя новые трассы! 

Показываем, с каких вокзалов проще всего попасть на легендарные курорты страны - https://vk.cc/cSdt4d";1
"С 1 декабря у всех наших пассажиров появился новый повод с нетерпением ждать посадки в поезд — мы запускаем зимнее меню! Оно будет действовать до 28 февраля в вагонах повышенной комфортности. 
 
🧀 В купейных вагонах можно попробовать уютные блюда вроде запечённых сырников с овсянкой и джемом или пастушьего пирога. 
 
🥞 В вагонах СВ поездов с новой концепцией питания появятся, например, гречневые блины с курицей, а для детей — сырники, запечённые с персиком. 
 
🍖 В вагонах ""Люкс"" мы предложим паштет из птицы с малиновым соусом, утиную грудку в медовой глазури и стейк из лосося с фисташками. 
 
🍳 В поездах с вагонами-ресторанами пассажирам СВ будут доступны омлет с творожным сыром, запечённая форель и медальон из телятины с вишнёвым соусом. 
 
🥘 В меню вагонов-бистро также появились новые зимние позиции — сырный суп с беконом, мясные шарики с брусничным соусом и другие согревающие блюда. 
 
🚄 В бизнес-классе ""Ласточек"" можно будет выбрать омлет с куриным филе, тыквенные оладьи или фрикадельки из индейки. 
 
Узнать, как выбрать питание, которое входит в стоимость билета, можно здесь: https://www.rzd.ru/ru/9300";1
"Уже почти год между Москвой и Санкт-Петербургом курсирует обновлённая двухэтажная ""Аврора"". 

История легендарного поезда началась в 1963-м, тогда ""Аврора"" была одноэтажной и тёмно-вишнёвой, а знакомые нам сегодня цвета появились позже. 

В декабре 2024-го, после четырнадцатилетнего перерыва, города соединили поезда № 741/742 и 743/744, а осенью 2025-го к ним присоединились № 745/746 и 749/750. 

Развивающую 160 км/ч ""Аврору"" пассажиры ценят за сочетание скорости, комфорта и доступной для скоростного поезда цены. А на днях ""Аврора"" получила признание и профессионалов: она стала одним из призёров в номинации ""Лучшее решение в области пассажирского транспорта"" национальной премии ""Формула движения"".";1
;1
В Амурской области есть станция, которую уважительно называют по имени-отчеству;1
"Поезд, который везёт к приятным сюрпризам!🥳 Это — ""Новогодний экспресс подарков от РЖД"" 🎉🎊🎁

Разыгрываем модели поездов и приятные сувениры. Если хотите испытать удачу, вот инструкция: 

— подпишитесь на нашу группу ВКонтакте; 

— поставьте лайк этому посту; 

— сделайте репост, открыв профиль на время конкурса; 

— напишите в комментариях под этим постом, куда бы вы хотели отправиться на Новый год поездом РЖД и почему; 

— добавьте в ваш комментарий хештег конкурса #НГэкспресс 

Комментарии принимаем до 15 декабря включительно. Пятерых победителей определим с помощью рандомайзера. 

Приглашаем к участию жителей России от 18 лет. 

Желаем удачи в конкурсе и наступающем году! 

Правила конкурса https://vk.cc/cS0F4X";1
В тепло через снега: двухэтажный поезд Москва — Адлер мчит из снежной красоты к морским просторам!;1
;1
"На прошедшей недавно выставке-форуме ""Транспорт России"" мы показали макет нового плацкартного вагона. Подробности – в карусели ➡";1
